provinsi,tahun,pulau,rpp,pl,ik,ia,rpp_norm,pl_norm,ik_norm,ia_norm,ikp,status,has_complete_data
KALIMANTAN BARAT,2020,Kalimantan,0.14372236258865248,3.032910672701591,0.9792982456140351,0.9283,0.276386,0.059138,0.376645,0.851706,0.43561,RENDAH,True
KALIMANTAN TENGAH,2020,Kalimantan,0.17151760299625468,3.196313663823534,1.1110526315789473,0.9518,0.329992,0.113727,0.630105,0.954506,0.564127,SEDANG,True
KALIMANTAN SELATAN,2020,Kalimantan,0.2823808572270228,3.968814332639781,1.1952631578947368,0.9562,0.543802,0.371798,0.792103,0.973753,0.712877,TINGGI,True
KALIMANTAN TIMUR,2020,Kalimantan,0.06968521508231545,3.5672160507956945,1.1143859649122807,0.9390000000000001,0.133598,0.237635,0.636517,0.898513,0.534756,SEDANG,True
KALIMANTAN UTARA,2020,Kalimantan,0.04784023938444001,3.397157760003238,1.1331578947368421,0.9319999999999999,0.091468,0.180823,0.672629,0.867892,0.516614,SEDANG,True
SULAWESI UTARA,2020,Sulawesi,0.09492333040924521,4.025361382392986,1.126140350877193,0.9238,0.182272,0.390689,0.659129,0.832021,0.561937,SEDANG,True
SULAWESI TENGAH,2020,Sulawesi,0.2653477710419667,4.449162994545759,1.0015789473684211,0.8708,0.510952,0.53227,0.419507,0.600175,0.514549,SEDANG,True
SULAWESI SELATAN,2020,Sulawesi,0.5189248878602524,4.822971278887365,1.1089473684210527,0.9128000000000001,1.0,0.657149,0.626055,0.783902,0.754417,TINGGI,True
SULAWESI TENGGARA,2020,Sulawesi,0.20296906167854012,3.984927801377965,1.072982456140351,0.89,0.390649,0.377181,0.556868,0.684164,0.525876,SEDANG,True
GORONTALO,2020,Sulawesi,0.19427088845267562,4.675381226027671,1.0671929824561404,0.8478,0.373874,0.607843,0.545731,0.499563,0.509932,SEDANG,True
SULAWESI BARAT,2020,Sulawesi,0.24313019306651634,5.322700951991926,1.0314035087719298,0.8913,0.468103,0.824095,0.476882,0.689851,0.608459,SEDANG,True
MALUKU,2020,Maluku-Papua,0.059736762399264426,3.852604033316334,0.889298245614035,0.8256,0.114412,0.332976,0.20351,0.40245,0.271266,RENDAH,True
MALUKU UTARA,2020,Maluku-Papua,0.03381623665133682,4.2111462825825505,0.8496491228070175,0.9322,0.064421,0.452755,0.127236,0.868766,0.402236,RENDAH,True
PAPUA BARAT,2020,Maluku-Papua,0.021495749933868265,3.2201190653882175,0.9929824561403509,0.7863,0.04066,0.121679,0.40297,0.230534,0.222519,RENDAH,True
PAPUA,2020,Maluku-Papua,0.03857199618932546,3.148304718295114,0.7835087719298245,0.7336,0.073593,0.097688,0.0,0.0,0.034256,RENDAH,True
ACEH,2021,Sumatera,0.3064738549224741,5.502755384312,1.0678947368421052,0.8467,0.549982,0.866761,0.52874,0.516346,0.596874,SEDANG,True
SUMATERA UTARA,2021,Sumatera,0.13418021384287837,5.200094731516197,1.097719298245614,0.9099,0.240483,0.760738,0.591378,0.799373,0.61747,SEDANG,True
SUMATERA BARAT,2021,Sumatera,0.2360505680799971,4.835713316784875,1.0161403508771931,0.9337,0.423478,0.633094,0.420044,0.905956,0.609114,SEDANG,True
RIAU,2021,Sumatera,0.033488183750154,4.098176390604638,1.0422807017543858,0.9288,0.059606,0.374733,0.474945,0.884013,0.494555,RENDAH,True
JAMBI,2021,Sumatera,0.0831634403503389,4.628765548670393,1.0159649122807017,0.9191,0.14884,0.5606,0.419676,0.840573,0.519963,SEDANG,True
SUMATERA SELATAN,2021,Sumatera,0.2984999462044931,5.143548893971314,1.05,0.8716,0.535658,0.74093,0.491157,0.627855,0.591021,SEDANG,True
BENGKULU,2021,Sumatera,0.13336474494564415,4.867044229130437,1.0403508771929824,0.8478,0.239019,0.644069,0.470892,0.521272,0.474267,RENDAH,True
LAMPUNG,2021,Sumatera,0.27367402717522954,5.0767742754235154,0.9871929824561404,0.8738,0.491062,0.717538,0.359248,0.637707,0.540807,SEDANG,True
KEPULAUAN BANGKA BELITUNG,2021,Sumatera,0.047852464023893565,3.856833825083008,1.152456140350877,0.951,0.085409,0.29019,0.706338,0.98343,0.58205,SEDANG,True
KEPULAUAN RIAU,2021,Sumatera,0.00040364932489849874,3.1648282499259697,1.2173684210526317,0.9388,0.000175,0.047778,0.842668,0.928795,0.54103,SEDANG,True
JAKARTA,2021,Jawa,0.0003062735044346211,5.802935871564547,1.2371929824561403,0.9528,0.0,0.971915,0.884304,0.991491,0.757122,TINGGI,True
JAWA BARAT,2021,Jawa,0.18682092475974943,5.681391550554618,1.1294736842105262,0.916,0.335044,0.929338,0.658069,0.826691,0.698304,SEDANG,True
JAWA TENGAH,2021,Jawa,0.26178558372456967,5.668996723758174,1.0559649122807018,0.8821,0.469706,0.924996,0.503685,0.674877,0.632509,SEDANG,True
DAERAH ISTIMEWA YOGYAKARTA,2021,Jawa,0.14989119825473352,5.176736198186225,1.2096491228070176,0.872,0.268706,0.752555,0.826455,0.629646,0.641082,SEDANG,True
JAWA TIMUR,2021,Jawa,0.23947835234889478,5.602113298844073,1.0573684210526317,0.886,0.429635,0.901566,0.506632,0.692342,0.625932,SEDANG,True
BANTEN,2021,Jawa,0.13292268789122413,5.037721156608267,1.182280701754386,0.9334,0.238225,0.703858,0.768976,0.904613,0.690493,SEDANG,True
BALI,2021,Bali-Nusa,0.14186416897792653,5.883109345311385,1.1685964912280702,0.9547,0.254286,1.0,0.740236,1.0,0.772928,TINGGI,True
NUSA TENGGARA BARAT,2021,Bali-Nusa,0.26336917254174397,5.139387342789166,1.2922807017543858,0.8586,0.472551,0.739472,1.0,0.569637,0.713296,TINGGI,True
NUSA TENGGARA TIMUR,2021,Bali-Nusa,0.1358423334632589,4.1845480107583715,0.9628070175438597,0.7901,0.243469,0.404989,0.308032,0.262875,0.300964,RENDAH,True
KALIMANTAN BARAT,2021,Kalimantan,0.1301268571324121,3.189996860629235,0.9728070175438597,0.9285,0.233202,0.056595,0.329035,0.882669,0.421471,RENDAH,True
KALIMANTAN TENGAH,2021,Kalimantan,0.14106637184516319,3.028437265258892,1.0998245614035087,0.9484,0.252853,0.0,0.5958,0.971787,0.520847,SEDANG,True
KALIMANTAN SELATAN,2021,Kalimantan,0.24652247368165722,3.9970864487518645,1.2029824561403508,0.9517,0.442289,0.339321,0.812454,0.986565,0.696028,SEDANG,True
KALIMANTAN TIMUR,2021,Kalimantan,0.06425029147628801,3.6921677043995826,1.1243859649122807,0.9346,0.114865,0.232507,0.647384,0.909987,0.536686,SEDANG,True
KALIMANTAN UTARA,2021,Kalimantan,0.041994548766816145,3.3743816737849954,1.1203508771929824,0.9264,0.074886,0.121185,0.638909,0.873265,0.492866,RENDAH,True
SULAWESI UTARA,2021,Sulawesi,0.08826072917456228,3.9350260854049477,1.1357894736842105,0.9223,0.157996,0.317581,0.671334,0.854904,0.552987,SEDANG,True
SULAWESI TENGAH,2021,Sulawesi,0.28690981501704227,4.758926698349199,1.0049122807017543,0.87,0.514838,0.606196,0.396463,0.62069,0.529353,SEDANG,True
SULAWESI SELATAN,2021,Sulawesi,0.5569929678866459,5.167329546645518,1.078421052631579,0.9122,1.0,0.74926,0.550847,0.809673,0.758008,TINGGI,True
SULAWESI TENGGARA,2021,Sulawesi,0.19931899819494583,4.15652716584551,1.0692982456140352,0.8834,0.357495,0.395173,0.531688,0.680699,0.51425,SEDANG,True
GORONTALO,2021,Sulawesi,0.1984698221845893,4.811661243803052,1.0319298245614035,0.8439,0.35597,0.624669,0.453206,0.503807,0.483232,RENDAH,True
SULAWESI BARAT,2021,Sulawesi,0.21650366091314033,5.205085472359403,1.0124561403508772,0.8871,0.388365,0.762486,0.412307,0.697268,0.563043,SEDANG,True
MALUKU,2021,Maluku-Papua,0.06271001288521422,4.1244597851322835,0.9012280701754386,0.8213,0.112098,0.38394,0.178703,0.402597,0.273598,RENDAH,True
MALUKU UTARA,2021,Maluku-Papua,0.021590825123152708,3.604593187320418,0.8485964912280701,0.9311,0.038234,0.201829,0.068165,0.894313,0.336756,RENDAH,True
PAPUA BARAT,2021,Maluku-Papua,0.023277083333333334,4.197534193616776,0.967719298245614,0.7816,0.041263,0.409538,0.318349,0.22481,0.253108,RENDAH,True
PAPUA,2021,Maluku-Papua,0.06572985259677641,4.405328006967772,0.816140350877193,0.7314,0.117523,0.482329,0.0,0.0,0.11997,RENDAH,True
ACEH,2022,Sumatera,0.27912063092882633,5.554574319293869,1.1056140350877193,0.8536,0.48022,0.843938,0.567661,0.539123,0.596867,SEDANG,True
SUMATERA UTARA,2022,Sumatera,0.13817771580925162,5.076005323455065,1.1098245614035087,0.9158,0.237541,0.696009,0.575196,0.820443,0.605402,SEDANG,True
SUMATERA BARAT,2022,Sumatera,0.24350817111654788,5.051921724744138,1.0243859649122806,0.9408,0.418902,0.688565,0.422292,0.933514,0.628235,SEDANG,True
