provinsi,tahun,pulau,rpp,pl,ik,ia,ikp,status,pct_miskin_est,is_prediction,model_version
RIAU,2030,Sumatera,0.036539,3.961344,1.058005,0.932892,0.509743,SEDANG,6.71,True,rf_v1.0
SULAWESI BARAT,2025,Sulawesi,0.217054,5.099896,1.060156,0.887199,0.590089,SEDANG,11.28,True,rf_v1.0
SULAWESI BARAT,2026,Sulawesi,0.228779,5.121326,1.055894,0.888052,0.597221,SEDANG,11.19,True,rf_v1.0
SULAWESI BARAT,2027,Sulawesi,0.234771,5.144613,1.056962,0.888317,0.606813,SEDANG,11.17,True,rf_v1.0
SULAWESI BARAT,2028,Sulawesi,0.242816,5.142484,1.056478,0.888926,0.615719,SEDANG,11.11,True,rf_v1.0
SULAWESI BARAT,2029,Sulawesi,0.24984,5.152932,1.057545,0.888831,0.621206,SEDANG,11.12,True,rf_v1.0
SULAWESI BARAT,2030,Sulawesi,0.250466,5.14774,1.057126,0.889207,0.624718,SEDANG,11.08,True,rf_v1.0
SULAWESI SELATAN,2025,Sulawesi,0.450472,5.145306,1.121986,0.917872,0.743303,TINGGI,8.21,True,rf_v1.0
SULAWESI SELATAN,2026,Sulawesi,0.456485,5.084717,1.120339,0.918513,0.742077,TINGGI,8.15,True,rf_v1.0
SULAWESI SELATAN,2027,Sulawesi,0.410861,5.121454,1.120517,0.917451,0.734314,TINGGI,8.25,True,rf_v1.0
SULAWESI SELATAN,2028,Sulawesi,0.376926,5.080983,1.121007,0.917889,0.734621,TINGGI,8.21,True,rf_v1.0
SULAWESI SELATAN,2029,Sulawesi,0.300326,5.07687,1.122064,0.918107,0.728754,TINGGI,8.19,True,rf_v1.0
SULAWESI SELATAN,2030,Sulawesi,0.313859,5.078329,1.122323,0.91793,0.724505,TINGGI,8.21,True,rf_v1.0
SULAWESI TENGAH,2025,Sulawesi,0.239328,4.524076,1.03196,0.884314,0.535359,SEDANG,11.57,True,rf_v1.0
SULAWESI TENGAH,2026,Sulawesi,0.228742,4.50425,1.038101,0.886705,0.536501,SEDANG,11.33,True,rf_v1.0
SULAWESI TENGAH,2027,Sulawesi,0.229379,4.552964,1.040936,0.887143,0.536104,SEDANG,11.29,True,rf_v1.0
SULAWESI TENGAH,2028,Sulawesi,0.226101,4.589628,1.042049,0.887924,0.534061,SEDANG,11.21,True,rf_v1.0
SULAWESI TENGAH,2029,Sulawesi,0.227968,4.628328,1.043771,0.887693,0.533765,SEDANG,11.23,True,rf_v1.0
SULAWESI TENGAH,2030,Sulawesi,0.226861,4.69197,1.043855,0.887833,0.533564,SEDANG,11.22,True,rf_v1.0
SULAWESI TENGGARA,2025,Sulawesi,0.189982,4.272782,1.067008,0.888286,0.537106,SEDANG,11.17,True,rf_v1.0
SULAWESI TENGGARA,2026,Sulawesi,0.203471,4.220093,1.067363,0.888503,0.53061,SEDANG,11.15,True,rf_v1.0
SULAWESI TENGGARA,2027,Sulawesi,0.209279,4.23215,1.06054,0.887509,0.528577,SEDANG,11.25,True,rf_v1.0
SULAWESI TENGGARA,2028,Sulawesi,0.207451,4.2481,1.055727,0.887489,0.53266,SEDANG,11.25,True,rf_v1.0
SULAWESI TENGGARA,2029,Sulawesi,0.209151,4.268158,1.055203,0.887724,0.532052,SEDANG,11.23,True,rf_v1.0
SULAWESI TENGGARA,2030,Sulawesi,0.210712,4.273243,1.054173,0.887817,0.532413,SEDANG,11.22,True,rf_v1.0
SULAWESI UTARA,2025,Sulawesi,0.105248,4.554916,1.139076,0.928877,0.605498,SEDANG,7.11,True,rf_v1.0
SULAWESI UTARA,2026,Sulawesi,0.104775,4.594318,1.12639,0.927223,0.603115,SEDANG,7.28,True,rf_v1.0
SULAWESI UTARA,2027,Sulawesi,0.10339,4.60177,1.126499,0.925913,0.600747,SEDANG,7.41,True,rf_v1.0
SULAWESI UTARA,2028,Sulawesi,0.107566,4.630464,1.120619,0.924937,0.600122,SEDANG,7.51,True,rf_v1.0
SULAWESI UTARA,2029,Sulawesi,0.110809,4.653142,1.120684,0.924707,0.59513,SEDANG,7.53,True,rf_v1.0
SULAWESI UTARA,2030,Sulawesi,0.117143,4.69175,1.118233,0.92408,0.589889,SEDANG,7.59,True,rf_v1.0
SUMATERA BARAT,2025,Sumatera,0.235688,4.745504,1.050597,0.932705,0.615169,SEDANG,6.73,True,rf_v1.0
SUMATERA BARAT,2026,Sumatera,0.225616,4.83534,1.048977,0.929762,0.612054,SEDANG,7.02,True,rf_v1.0
SUMATERA BARAT,2027,Sumatera,0.235492,4.928376,1.052137,0.927121,0.61486,SEDANG,7.29,True,rf_v1.0
SUMATERA BARAT,2028,Sumatera,0.23197,4.996024,1.053441,0.923731,0.618406,SEDANG,7.63,True,rf_v1.0
SUMATERA BARAT,2029,Sumatera,0.236106,5.061057,1.056744,0.921543,0.624724,SEDANG,7.85,True,rf_v1.0
SUMATERA BARAT,2030,Sumatera,0.237926,5.098068,1.057611,0.919742,0.627302,SEDANG,8.03,True,rf_v1.0
SUMATERA SELATAN,2025,Sumatera,0.303276,5.532941,1.132803,0.889081,0.702323,TINGGI,11.09,True,rf_v1.0
SUMATERA SELATAN,2026,Sumatera,0.287188,5.497657,1.126534,0.888719,0.702482,TINGGI,11.13,True,rf_v1.0
SUMATERA SELATAN,2027,Sumatera,0.284104,5.492591,1.125211,0.889114,0.698033,SEDANG,11.09,True,rf_v1.0
SUMATERA SELATAN,2028,Sumatera,0.28553,5.487045,1.12206,0.88971,0.693499,SEDANG,11.03,True,rf_v1.0
SUMATERA SELATAN,2029,Sumatera,0.283225,5.494596,1.121756,0.889702,0.690512,SEDANG,11.03,True,rf_v1.0
SUMATERA SELATAN,2030,Sumatera,0.283794,5.484795,1.121295,0.889455,0.691596,SEDANG,11.05,True,rf_v1.0
SUMATERA UTARA,2025,Sumatera,0.140809,5.150835,1.113329,0.920314,0.629416,SEDANG,7.97,True,rf_v1.0
SUMATERA UTARA,2026,Sumatera,0.140802,5.114587,1.116219,0.919612,0.628867,SEDANG,8.04,True,rf_v1.0
SUMATERA UTARA,2027,Sumatera,0.131951,5.136724,1.118453,0.919184,0.630378,SEDANG,8.08,True,rf_v1.0
SUMATERA UTARA,2028,Sumatera,0.140748,5.106782,1.116974,0.920446,0.631637,SEDANG,7.96,True,rf_v1.0
SUMATERA UTARA,2029,Sumatera,0.14221,5.124998,1.117398,0.920917,0.630888,SEDANG,7.91,True,rf_v1.0
SUMATERA UTARA,2030,Sumatera,0.142522,5.115598,1.117287,0.92004,0.629248,SEDANG,8.0,True,rf_v1.0
