provinsi,tahun,pulau,rpp_ikan,rpp_kebun,npi,kps,rpp_ikan_norm,rpp_kebun_norm,npi_norm,kps_norm,ipsda,status,n_komponen,has_complete_data
GORONTALO,2020,Sulawesi,0.09600342075256556,0.012298419938100668,2192475.31438345,0.389177,0.402349,0.033095,0.315594,0.887755,0.409698,KURANG,4,True
SULAWESI BARAT,2020,Sulawesi,0.04269691325172964,0.03831825439063331,1064425.9433209153,0.43828,0.174786,0.107968,0.149483,1.0,0.358059,KURANG,4,True
MALUKU,2020,Maluku-Papua,0.22901778371710527,0.00849352384868421,6840208.509971217,0.230719,0.970182,0.022146,1.0,0.525536,0.629466,CUKUP,4,True
MALUKU UTARA,2020,Maluku-Papua,0.23600250811448806,0.020350767187961052,5085354.716730599,0.179705,1.0,0.056266,0.741588,0.408923,0.551694,CUKUP,4,True
PAPUA BARAT,2020,Maluku-Papua,0.10096367556808758,0.012906369215458617,4341667.0973627465,0.109799,0.423525,0.034845,0.632075,0.249124,0.334892,KURANG,4,True
PAPUA,2020,Maluku-Papua,0.0523922423281821,0.016215933606304758,1778356.644652842,0.108352,0.216175,0.044368,0.254613,0.245817,0.190243,RENDAH,4,True
ACEH,2021,Sumatera,0.045485980776886765,0.030846556332821476,1333163.8669927393,0.297086,0.148012,0.07334,0.173605,0.670594,0.266388,RENDAH,4,True
SUMATERA UTARA,2021,Sumatera,0.0247801262213333,0.0497123194183548,706657.490776653,0.229708,0.077621,0.119396,0.088695,0.518098,0.200952,RENDAH,4,True
SUMATERA BARAT,2021,Sumatera,0.03757340319812088,0.03652994850483332,955130.4267774867,0.212036,0.121113,0.087215,0.12237,0.478102,0.2022,RENDAH,4,True
RIAU,2021,Sumatera,0.021617428566960167,0.1824670399274331,521998.85800972773,0.255219,0.066869,0.443479,0.063668,0.575837,0.287463,RENDAH,4,True
JAMBI,2021,Sumatera,0.01546107885688518,0.10662800856772447,468856.28487683897,0.301787,0.04594,0.25834,0.056465,0.681234,0.260495,RENDAH,4,True
SUMATERA SELATAN,2021,Sumatera,0.013904740534284431,0.06388029383281763,610323.5627229138,0.130783,0.040649,0.153983,0.075638,0.294203,0.141118,RENDAH,4,True
BENGKULU,2021,Sumatera,0.0381822250957378,0.08289401700900184,1414925.849704083,0.27689,0.123182,0.2004,0.184686,0.624885,0.283288,RENDAH,4,True
