kode_wilayah,wilayah,provinsi,level,tahun,hls,rls,ahh,pengeluaran
1109,Pidie,ACEH,kab_kota,2037,14.65,10.4299,68.5862,16989.4829
1109,Pidie,ACEH,kab_kota,2038,14.66,10.5228,68.677,17438.0232
1109,Pidie,ACEH,kab_kota,2039,14.67,10.6156,68.7677,17886.5634
1109,Pidie,ACEH,kab_kota,2040,14.68,10.7085,68.8584,18335.1037
1109,Pidie,ACEH,kab_kota,2041,14.69,10.8013,68.9491,18783.6439
1109,Pidie,ACEH,kab_kota,2042,14.7,10.8942,69.0398,19232.1842
1109,Pidie,ACEH,kab_kota,2043,14.71,10.9871,69.1305,19680.7244
1109,Pidie,ACEH,kab_kota,2044,14.72,11.0799,69.2213,20129.2647
1109,Pidie,ACEH,kab_kota,2045,14.73,11.1728,69.312,20577.8049
1110,Bireuen,ACEH,kab_kota,2025,,,71.9414,
1110,Bireuen,ACEH,kab_kota,2026,14.9919,10.0253,72.0529,10472.9274
1110,Bireuen,ACEH,kab_kota,2027,15.0279,10.1307,72.1643,10723.3306
1110,Bireuen,ACEH,kab_kota,2028,15.0639,10.236,72.2757,10973.7339
1110,Bireuen,ACEH,kab_kota,2029,15.0999,10.3413,72.3871,11224.1371
1110,Bireuen,ACEH,kab_kota,2030,15.1359,10.4467,72.4986,11474.5403
1110,Bireuen,ACEH,kab_kota,2031,15.172,10.552,72.61,11724.9435
1110,Bireuen,ACEH,kab_kota,2032,15.208,10.6573,72.7214,11975.3467
1110,Bireuen,ACEH,kab_kota,2033,15.244,10.7627,72.8329,12225.7499
1110,Bireuen,ACEH,kab_kota,2034,15.28,10.868,72.9443,12476.1531
1110,Bireuen,ACEH,kab_kota,2035,15.316,10.9733,73.0557,12726.5563
1110,Bireuen,ACEH,kab_kota,2036,15.352,11.0787,73.1671,12976.9595
1110,Bireuen,ACEH,kab_kota,2037,15.3881,11.184,73.2786,13227.3628
1110,Bireuen,ACEH,kab_kota,2038,15.4241,11.2893,73.39,13477.766
1110,Bireuen,ACEH,kab_kota,2039,15.4601,11.3947,73.5014,13728.1692
1110,Bireuen,ACEH,kab_kota,2040,15.4961,11.5,73.6129,13978.5724
1110,Bireuen,ACEH,kab_kota,2041,15.5321,11.6053,73.7243,14228.9756
1110,Bireuen,ACEH,kab_kota,2042,15.5681,11.7107,73.8357,14479.3788
1110,Bireuen,ACEH,kab_kota,2043,15.6042,11.816,73.9471,14729.782
1110,Bireuen,ACEH,kab_kota,2044,15.6402,11.9213,74.0586,14980.1852
1110,Bireuen,ACEH,kab_kota,2045,15.6762,12.0267,74.17,15230.5884
1111,Aceh Utara,ACEH,kab_kota,2025,,,69.3884,
1111,Aceh Utara,ACEH,kab_kota,2026,14.836,9.3387,69.4967,10043.1343
1111,Aceh Utara,ACEH,kab_kota,2027,14.912,9.4654,69.6051,10273.2687
1111,Aceh Utara,ACEH,kab_kota,2028,14.988,9.5921,69.7135,10503.403
1111,Aceh Utara,ACEH,kab_kota,2029,15.064,9.7188,69.8219,10733.5373
1111,Aceh Utara,ACEH,kab_kota,2030,15.14,9.8455,69.9302,10963.6717
